Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
139114,2.027186994,-0.329568754,-1.704151181,0.307516861,0.390078067,-0.264448817,0.117855647,-0.139485181,1.119030045,-0.137898971,-1.846801753,-0.213419849,-0.881563438,0.320026122,-0.216530269,-0.384487769,-0.332749434,-0.159855893,0.531027579,-0.187977041,-0.094826263,-0.153855795,0.023942518,0.026034922,0.256506285,-0.285760159,-0.028497388,-0.052507876,44.54,0
80600,1.216247524,0.243644706,0.348067282,0.924774233,-0.207973252,-0.398147059,-0.039167868,0.010781101,-0.099811425,0.182984836,0.942660922,0.514877705,-0.525858932,0.614614043,0.403585551,0.491590357,-0.816128322,0.502552828,0.04637183,-0.156096263,-0.031317033,-0.119226281,-0.065515635,-0.035944841,0.53852109,-0.433209263,0.015042181,0.01055021,2.5,0
2284,-0.674245044,1.437900091,2.620774236,2.773719328,-0.435684932,0.560358622,1.044742386,-0.251076135,-1.448284401,0.836439827,0.48821959,0.10983632,0.906141847,-0.222219938,1.656174002,-0.387069713,0.237690632,-0.720493211,0.29127802,0.170944945,-0.115735587,-0.166520085,-0.039188646,0.608837031,-0.283255223,-0.032142311,-0.258918051,-0.161388566,99.65,0
160180,-1.065932393,0.689740156,-0.702538203,1.238715427,0.03456352,-1.014630299,0.007763564,0.442162833,-1.004029988,-0.193509754,-1.036785371,0.44039448,0.833295156,1.006800826,1.070070415,-1.091549949,0.996933635,-0.300467128,2.926356303,0.024272321,0.056794186,0.03790472,-0.157133569,0.002288742,-0.881889797,0.823667688,-0.068640026,-0.132817438,49.95,0
61871,-1.6114265,0.573714796,1.086104711,0.356644234,-1.436482638,-0.261014758,-0.123476972,0.827079736,-0.030583122,-1.099640104,-1.262360171,0.254391455,-0.108079259,0.235735672,-0.166391703,0.169321365,0.242182616,0.106575062,0.1305327,-0.177839392,0.278313652,0.582668964,-0.104911491,0.467319309,-0.172550165,0.530697808,-0.219206311,-0.085195995,129.9,0
91769,2.023116579,0.174300661,-1.476029239,0.555754087,0.391031347,-0.634560254,-0.057755057,-0.139547366,1.619111447,-0.557915547,2.11915417,-2.005276634,0.842994567,0.945842071,-1.164933641,0.463711215,1.06561354,0.490987884,0.073871998,-0.243627423,-0.46018509,-1.044358829,0.37198338,0.588369927,-0.361176111,0.106561776,-0.097698012,-0.046891738,0.89,0
131464,0.206387732,0.826165483,-0.37164422,-0.308545199,1.019083731,-0.694705799,0.962660599,-0.332741875,0.448965009,-0.990254952,-0.814486478,-0.601575646,-0.715427111,-2.003378125,-0.733349865,0.121087628,0.992289027,0.369707477,-0.307296316,-0.101465163,-0.015468855,0.267668583,-0.225483815,0.643878054,-0.159513076,0.492449091,-0.305275151,-0.197633999,1,0
52328,0.674608534,-1.392303837,-0.060258919,0.82527062,0.919590037,4.842398371,-1.275751533,1.255459566,1.541899186,-0.44150126,-1.235680027,0.616099055,-0.214067748,-0.889464297,-1.383143802,-0.165454785,-0.175025223,0.26725679,0.474684671,0.451322789,0.021975698,-0.133511955,-0.344861257,1.057288102,0.626415405,-0.238904281,0.064826491,0.074380018,253,0
69919,-0.72094222,1.160927851,1.69878307,0.928632978,0.051760765,-1.06050159,0.783693448,-0.130008263,-0.645046684,-0.027538747,-0.013044246,0.040671489,-0.181287531,0.350588839,1.11475294,-0.337261389,0.009850861,-0.570043531,0.59367598,0.132512699,-0.446164987,-1.309391275,0.037305912,0.624785677,0.163804265,-0.729491655,0.115327639,0.074763951,12.51,0
154152,2.12924769,0.153675384,-2.056899993,0.057050308,0.472934939,-1.748889091,0.812775708,-0.60811998,0.17446717,0.009586076,-0.540609319,0.37650168,0.07649141,0.784120499,0.397701937,-0.714164363,-0.204577655,-0.662563387,0.031772089,-0.245788681,0.154392899,0.619071197,-0.034779459,0.051119624,0.43092737,0.243172483,-0.081047021,-0.079450226,0.77,0
